From,To,Uber Link
Sai Baba Temple Mylapore,Chennai Lighthouse,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Sai%20Baba%20Temple%20Mylapore%22%2C%22addressLine2%22%3A%2227M7%2B4VF%2C%20Venkatesa%20Agraharam%20Rd%2C%20Kabali%20Nagar%2C%20Venkatesa%20Agraharam%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJFwDbhM1nUjoR9lMVvvVD89o%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0328131%2C%22longitude%22%3A80.26467889999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Lighthouse,Sai Baba Temple Mylapore,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Sai%20Baba%20Temple%20Mylapore%22%2C%22addressLine2%22%3A%22Venkatesa%20Agraharam%20Road%2C%20Kapaleeswarar%20Nagar%2C%20Venkatesa%20Agraharam%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJFwDbhM1nUjoR9lMVvvVD89o%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0328131%2C%22longitude%22%3A80.26467889999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Chennai%20Lighthouse%22%2C%22addressLine2%22%3A%22Marina%20Beach%20Road%2C%20Marina%20Beach%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ5dptVYBoUjoRCQL97Hq9F1w%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0397427%2C%22longitude%22%3A80.2792303%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Citi Centre,Express Avenue Mall,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Rd%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Dr%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Express Avenue Mall,CitiCenter,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Rd%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
PVR Ampa SkyOne,Chennai Citi Centre,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Ampa%20Skyone%22%2C%22addressLine2%22%3A%221%2C%20Nelson%20Manickam%20Rd%2C%20Aminjikarai%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJZ7WProRmUjoRRAt0jFusLw8%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0734943%2C%22longitude%22%3A80.22136259999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Citi Centre,PVR Ampa SkyOne,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Ampa%20Skyone%22%2C%22addressLine2%22%3A%22Nelson%20Manickam%20Road%2C%20Aminjikarai%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJZ7WProRmUjoRRAt0jFusLw8%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0734943%2C%22longitude%22%3A80.22136259999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Dr%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Citi Centre,Marina Beach,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Marina%20Beach%22%2C%22addressLine2%22%3A%22Tamil%20Nadu%22%2C%22id%22%3A%22ChIJuzIBtptoUjoRCrZi347PSQU%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0499526%2C%22longitude%22%3A80.2824026%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Dr%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Marina Beach,Chennai Citi Centre,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Marina%20Beach%22%2C%22addressLine2%22%3A%22Tamil%20Nadu%22%2C%22id%22%3A%22ChIJuzIBtptoUjoRCrZi347PSQU%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0499526%2C%22longitude%22%3A80.2824026%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Semmozhi Poonga,Chennai Citi Centre,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Semmozhi%20Poonga%22%2C%22addressLine2%22%3A%22Cathedral%20Road%2C%20opposite%20American%20Consulate%2C%20Ellaiamman%20Colony%2C%20Teynampet%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJcVcO_UZmUjoR21emTXt0U4k%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0505371%2C%22longitude%22%3A80.2514128%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Citi Centre,Semmozhi Poonga,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Semmozhi%20Poonga%22%2C%22addressLine2%22%3A%22Cathedral%20Road%2C%20opposite%20American%20Consulate%2C%20Ellaiamman%20Colony%2C%20Teynampet%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJcVcO_UZmUjoR21emTXt0U4k%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0505371%2C%22longitude%22%3A80.2514128%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Chennai Citi Centre,Sai Baba Temple Mylapore,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Sai%20Baba%20Temple%20Mylapore%22%2C%22addressLine2%22%3A%22Venkatesa%20Agraharam%20Road%2C%20Kapaleeswarar%20Nagar%2C%20Venkatesa%20Agraharam%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJFwDbhM1nUjoR9lMVvvVD89o%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0328131%2C%22longitude%22%3A80.26467889999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Sai Baba Temple Mylapore,Chennai Citi Centre,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22CHENNAI%20CITI%20CENTRE%22%2C%22addressLine2%22%3A%22Doctor%20Radha%20Krishnan%20Salai%2C%20Loganathan%20Colony%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJ8X9W6P9nUjoR1PQDf-g24qg%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0429549%2C%22longitude%22%3A80.2737891%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Sai%20Baba%20Temple%20Mylapore%22%2C%22addressLine2%22%3A%2227M7%2B4VF%2C%20Venkatesa%20Agraharam%20Rd%2C%20Kabali%20Nagar%2C%20Venkatesa%20Agraharam%2C%20Mylapore%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJFwDbhM1nUjoR9lMVvvVD89o%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0328131%2C%22longitude%22%3A80.26467889999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Express Avenue Mall,PVR Ampa SkyOne,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Ampa%20Skyone%22%2C%22addressLine2%22%3A%22Nelson%20Manickam%20Road%2C%20Aminjikarai%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJZ7WProRmUjoRRAt0jFusLw8%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0734943%2C%22longitude%22%3A80.22136259999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Road%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
PVR Ampa SkyOne,Express Avenue Mall,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Road%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22PVR%20Ampa%20SkyOne%2C%20Aminjikarai%22%2C%22addressLine2%22%3A%221%2C%20Nelson%20Manickam%20Rd%2C%20Aminjikarai%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJyzSdtIRmUjoRqkjefEktGWk%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0739961%2C%22longitude%22%3A80.2214138%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Express Avenue Mall,Marina Beach,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Marina%20Beach%22%2C%22addressLine2%22%3A%22Tamil%20Nadu%22%2C%22id%22%3A%22ChIJuzIBtptoUjoRCrZi347PSQU%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0499526%2C%22longitude%22%3A80.2824026%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Rd%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Marina Beach,Express Avenue Mall,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Road%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Marina%20Beach%22%2C%22addressLine2%22%3A%22Tamil%20Nadu%22%2C%22id%22%3A%22ChIJuzIBtptoUjoRCrZi347PSQU%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0499526%2C%22longitude%22%3A80.2824026%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Semmozhi Poonga,Express Avenue Mall,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Rd%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Semmozhi%20Poonga%22%2C%22addressLine2%22%3A%22Cathedral%20Road%2C%20opposite%20American%20Consulate%2C%20Ellaiamman%20Colony%2C%20Teynampet%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJcVcO_UZmUjoR21emTXt0U4k%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0505371%2C%22longitude%22%3A80.2514128%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
Express Avenue Mall,Semmozhi Poonga,https://m.uber.com/go/product-selection?_gl=1%2Anu74i5%2A_gcl_au%2ANTEyODIxMTIyLjE3MjU4NjExNzg.%2A_ga%2ANTU1NzI2MzIuMTcyNTcxNTczNw..%2A_ga_XTGQLY6KPT%2AMTcyNTkzODkwMS4xMS4xLjE3MjU5NDAxOTguMC4wLjA.&drop%5B0%5D=%7B%22addressLine1%22%3A%22Semmozhi%20Poonga%22%2C%22addressLine2%22%3A%22Cathedral%20Road%2C%20opposite%20American%20Consulate%2C%20Ellaiamman%20Colony%2C%20Teynampet%2C%20Chennai%2C%20Tamil%20Nadu%2C%20India%22%2C%22id%22%3A%22ChIJcVcO_UZmUjoR21emTXt0U4k%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0505371%2C%22longitude%22%3A80.2514128%2C%22provider%22%3A%22google_places%22%7D&marketing_vistor_id=95dd8594-7619-4d77-b0e1-c3ca5ff6776f&pickup=%7B%22addressLine1%22%3A%22Express%20Avenue%20Mall%22%2C%22addressLine2%22%3A%22Whites%20Rd%2C%20Express%20Estate%2C%20Royapettah%2C%20Chennai%2C%20Tamil%20Nadu%22%2C%22id%22%3A%22ChIJgaOxaT1mUjoR_q0IaoVAKvE%22%2C%22source%22%3A%22SEARCH%22%2C%22latitude%22%3A13.0581879%2C%22longitude%22%3A80.26407119999999%2C%22provider%22%3A%22google_places%22%7D&uclick_id=e6e110fb-7ff2-4d6b-bebd-37dce42603ef&vehicle=20013279
